datetime,open,high,low,close,volume
1500175800,0.01952473,0.0198,0.01950721,0.0197608,234.23727674
1500177600,0.01976081,0.0199,0.0197,0.0197,296.31676862
1500179400,0.01974295,0.01975994,0.01955215,0.01963867,138.89668455
1500181200,0.01963907,0.01978836,0.01963907,0.01978,73.45933569
1500183000,0.01978637,0.01979943,0.0193392,0.01958138,189.5057133
1500184800,0.0195812,0.01973495,0.0195812,0.01960631,100.67397027
1500186600,0.01960634,0.01971725,0.01954332,0.01966678,173.75976502
1500188400,0.01966678,0.019735,0.01962165,0.019735,94.19823646
1500190200,0.01973001,0.01982,0.01972032,0.01980022,128.84559302
1500192000,0.01980022,0.019866,0.01977769,0.01982197,84.05351534
1500193800,0.01982197,0.01987,0.01978,0.01980467,124.59660703
1500195600,0.01978751,0.01980467,0.01925,0.01964673,545.28579092
1500197400,0.01968499,0.01980176,0.0195529,0.0198,134.15511056
1500199200,0.01978236,0.01985631,0.01974094,0.01984999,199.91674965
1500201000,0.01983946,0.01987383,0.01942919,0.01973,275.41202958
1500202800,0.01973452,0.01978673,0.01955001,0.0197,256.51368867
1500204600,0.01971784,0.01973999,0.01945013,0.01964641,435.1636978
1500206400,0.0196464,0.01975292,0.01947669,0.0195903,249.70922784
1500208200,0.01960727,0.01969999,0.01935001,0.01967314,354.77358517
1500210000,0.0196696,0.01977881,0.0195501,0.01977881,272.63432743
1500211800,0.01977881,0.01992,0.01974926,0.01991,554.13803538
1500213600,0.01992088,0.0200424,0.019682,0.01980488,533.08858506
1500215400,0.01979999,0.01986649,0.0196317,0.01968854,206.09515955
1500217200,0.01969307,0.01984537,0.01964101,0.01984537,147.20493205
1500219000,0.01984536,0.0199352,0.01983342,0.01993519,113.95456217
1500220800,0.0199352,0.02005239,0.01990006,0.02003,224.82320924
1500222600,0.02003,0.02005641,0.0199,0.01999693,274.10346411
1500224400,0.01999695,0.02044925,0.01999694,0.02044027,299.73625561
1500226200,0.02044028,0.0206,0.02035674,0.02059996,540.82420937
1500228000,0.02059098,0.02069318,0.02010017,0.02051693,733.13726553
1500229800,0.02054732,0.02055918,0.02040953,0.02055918,184.0511268
1500231600,0.02055917,0.02063688,0.0201328,0.02023916,289.56255539
1500233400,0.02021379,0.02048097,0.0202,0.0203856,284.69394748
1500235200,0.02036001,0.02053611,0.02030008,0.02044663,253.79822257
1500237000,0.02044664,0.02061236,0.02043297,0.02045773,300.80736016
1500238800,0.02051367,0.02068511,0.02045543,0.02065317,247.59772704
1500240600,0.02065317,0.02089999,0.02061714,0.02084411,302.7823583
1500242400,0.02084426,0.02111,0.02081637,0.02099994,633.48004519
1500244200,0.02099995,0.021268,0.02079936,0.02126784,477.04992159
1500246000,0.0212678,0.0215,0.02121726,0.02139155,1079.05707028
1500247800,0.02139122,0.02147999,0.02114899,0.021378,478.16084724
1500249600,0.021378,0.02151,0.02120001,0.02135036,482.92613527
1500251400,0.02135035,0.021505,0.02081586,0.02126596,628.7971578
1500253200,0.02129997,0.02148277,0.0212,0.0212,242.51998787
1500255000,0.0212,0.0214235,0.02113989,0.02119849,265.10419681
1500256800,0.02120997,0.0212698,0.02094,0.02103059,227.17263151
1500258600,0.021013,0.02117304,0.020819,0.02093781,347.61744669
1500260400,0.0209414,0.0209414,0.02061415,0.02081899,481.0355542
1500262200,0.02081893,0.02081893,0.0204844,0.02051001,348.21099007
1500264000,0.02051349,0.02089592,0.02050876,0.0206042,455.75650383
1500265800,0.02060401,0.0206905,0.02053001,0.02063079,122.21193887
1500267600,0.02063,0.02078636,0.02060052,0.02065,175.60880911
1500269400,0.02064771,0.02082074,0.02064771,0.020803,167.38558895
1500271200,0.02081304,0.02089851,0.0207797,0.02089767,235.06268281
1500273000,0.0208978,0.02100001,0.02076701,0.02088842,365.22850727
1500274800,0.02089729,0.0208973,0.0206,0.0206148,262.46217772
1500276600,0.0206,0.0206148,0.02039777,0.0204819,425.0112729
1500278400,0.02046275,0.02047166,0.02009569,0.02039269,439.98477072
1500280200,0.02039269,0.02052258,0.02012647,0.0202895,352.08250623
1500282000,0.0202895,0.02034553,0.02006001,0.02013004,220.05167913
1500283800,0.02013006,0.02034384,0.02012,0.02027906,218.52528663
1500285600,0.0203,0.02045996,0.02027903,0.02040459,227.59507123
1500287400,0.02040459,0.02067097,0.02038,0.02063927,286.72670443
1500289200,0.02066489,0.02066494,0.0203085,0.02031,223.76748581
1500291000,0.02034718,0.02035999,0.02015006,0.02019406,144.38792153
1500292800,0.02019406,0.02023385,0.0199,0.02015998,394.87909117
1500294600,0.02015693,0.0203316,0.0200928,0.02029985,217.30816894
1500296400,0.02028343,0.02036813,0.020212,0.02025111,181.74530302
1500298200,0.02025772,0.02027999,0.02016999,0.02021213,102.18747044
1500300000,0.02021206,0.02056063,0.02017831,0.02042519,331.58836565
1500301800,0.02041,0.02045429,0.02026994,0.0203093,163.99810931
1500303600,0.0203093,0.02035513,0.0202,0.0202107,361.56637187
1500305400,0.020201,0.02024476,0.02001703,0.02009999,374.43807033
1500307200,0.02009998,0.02013152,0.01992785,0.020055,214.1214191
1500309000,0.02005,0.0200508,0.01992168,0.0200099,148.7183141
1500310800,0.02000005,0.02029412,0.02000004,0.02014382,239.99484715
1500312600,0.02014383,0.0202,0.01975895,0.01987942,613.98054865
1500314400,0.01987001,0.01998608,0.0195,0.01969304,471.57128749
1500316200,0.01969303,0.01989742,0.0195,0.01983626,313.4228832
